MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58497.265971,-20.305,0.593,-27,16,o,0,1.41,2.87006,35.973,5083.95,1745.33,3.04,2.8,6.8,-0.456,19.05,20.23,01a58497o0161o
58497.271582,21.22,1.667,12,20,o,0,1.17,2.87006,35.973,5050.14,1684.73,3.73,3.14,-4.0,-0.419,18.97,20.2,01a58497o0173o
58497.276743,-21.22,1.52,-12,18,o,0,1.31,2.87006,35.973,5030.3,1816.99,3.5,2.96,-4.4,-0.431,19.01,20.18,01a58497o0184o
58500.213713,22.552,4.243,4,15,o,0,1.21,2.87006,35.973,768.64,1395.5,1.88,1.78,70.0,-0.558,18.96,19.61,02a58500o0043o
58500.215152,23.623,14.462,1,19,o,0,1.05,2.87006,35.973,10394.5,1435.59,1.99,1.9,-21.7,-0.509,19.01,19.67,02a58500o0046o
58500.220723,23.143,8.429,2,17,o,0,0.81,2.87006,35.973,734.72,1355.11,1.91,1.76,45.3,-0.572,19.06,19.71,02a58500o0058o
58500.222587,20.142,0.659,32,21,o,0,1.03,2.87006,35.973,10375.42,1394.44,2.28,1.97,29.7,-0.513,19.08,19.74,02a58500o0062o
58500.229207,21.479,2.0,9,19,o,0,0.82,2.87006,35.973,798.63,1430.62,1.93,1.82,46.7,-0.57,19.03,19.72,02a58500o0076o
58500.231048,-20.342,0.619,-26,16,o,0,1.23,2.87006,35.973,10420.38,1475.46,2.31,1.99,33.6,-0.493,19.1,19.72,02a58500o0080o
58500.23813,21.25,1.379,12,16,o,0,3.71,2.87006,35.973,829.3,1311.38,1.97,1.75,34.0,-0.575,19.07,19.69,02a58500o0095o
58500.239535,19.301,0.3,69,21,o,0,0.76,2.87006,35.973,10452.18,1358.25,2.03,1.96,-1.5,-0.503,19.04,19.7,02a58500o0098o
58502.224257,20.375,1.049,26,27,o,0,1.27,2.87006,35.973,2975.13,5460.33,3.42,3.27,16.2,-0.442,18.52,19.72,01a58502o0014o
58502.232199,20.842,1.507,17,25,o,0,1.28,2.87006,35.973,2972.34,5602.82,3.43,3.17,6.9,-0.426,18.57,19.7,01a58502o0031o
58503.271327,20.182,0.958,31,29,o,0,1.35,2.87006,35.973,763.1,7227.83,2.37,2.09,-36.9,-0.418,18.45,18.89,02a58503o0162o
58503.272824,20.781,2.04,18,36,o,0,1.29,2.87006,35.973,10039.27,7269.02,2.37,2.32,7.3,-0.445,18.54,18.98,02a58503o0165o
58503.276112,19.4,0.526,63,33,o,0,1.04,2.87006,35.973,747.15,7191.08,2.26,2.08,-29.5,-0.435,18.47,18.86,02a58503o0172o
58503.277728,19.76,0.842,45,38,o,0,1.03,2.87006,35.973,10024.42,7227.68,2.41,2.27,31.8,-0.481,18.54,18.95,02a58503o0175o
58503.281597,20.618,1.766,21,36,o,0,0.78,2.87006,35.973,795.32,7265.48,2.37,2.14,-40.6,-0.423,18.43,18.81,02a58503o0182o
58503.28277,-21.956,6.341,-6,38,o,0,1.42,2.87006,35.973,10071.91,7307.4,2.38,2.26,30.2,-0.497,18.46,18.91,02a58503o0184o
58503.287662,19.505,0.528,57,30,o,0,1.52,2.87006,35.973,812.8,7148.76,2.42,2.19,-40.1,-0.422,18.32,18.76,02a58503o0193o
58503.289244,-20.703,2.189,-19,42,o,0,1.03,2.87006,35.973,10103.41,7192.41,2.34,2.23,27.2,-0.497,18.55,18.87,02a58503o0196o
58504.228687,21.562,1.494,9,13,o,0,1.06,2.87006,35.973,770.89,7227.95,2.15,1.92,-20.7,-0.453,19.46,20.75,02a58504o0071o
58504.230768,20.488,0.464,23,11,o,0,1.26,2.87006,35.973,10048.99,7266.81,2.13,1.99,28.1,-0.48,19.49,20.74,02a58504o0075o
58504.237142,22.982,5.333,2,12,o,0,1.35,2.87006,35.973,754.78,7188.7,2.17,1.92,-19.2,-0.458,19.44,20.68,02a58504o0088o
58504.239238,19.915,0.271,39,11,o,0,1.39,2.87006,35.973,10032.27,7226.8,2.17,2.02,12.4,-0.499,19.44,20.69,02a58504o0092o
58504.246124,-20.223,0.483,-30,14,o,0,0.99,2.87006,35.973,800.37,7265.29,2.13,1.9,-16.2,-0.473,19.43,20.64,02a58504o0105o
58504.247964,21.312,1.14,11,12,o,0,1.28,2.87006,35.973,10078.97,7306.17,2.13,1.99,19.7,-0.506,19.45,20.69,02a58504o0109o
58504.255496,-21.396,1.659,-10,17,o,0,0.61,2.87006,35.973,816.27,7147.55,2.17,1.92,-29.3,-0.449,19.37,20.5,02a58504o0122o
58504.257608,-21.97,2.417,-6,14,o,0,0.99,2.87006,35.973,10110.03,7190.09,2.2,2.05,23.5,-0.496,19.35,20.48,02a58504o0126o
58506.210922,-22.681,10.688,-3,33,o,0,1.33,2.87006,35.973,6897.99,5458.09,2.98,2.88,78.7,-0.44,18.55,19.39,01a58506o0035o
58506.216993,-20.859,0.854,-16,14,o,0,1.19,2.87006,35.973,6922.97,5517.12,3.26,2.72,-88.6,-0.439,19.16,20.5,01a58506o0048o
58506.224513,22.329,2.545,4,11,o,0,1.56,2.87006,35.973,6872.33,5465.68,3.18,2.67,-88.3,-0.443,19.32,20.93,01a58506o0064o
58506.233429,21.278,1.145,11,13,o,0,1.09,2.87006,35.973,6872.16,5611.16,3.3,2.72,89.0,-0.435,19.32,20.97,01a58506o0083o
58508.207063,20.573,2.453,21,53,o,0,0.82,2.87006,35.973,6666.24,3311.95,2.91,2.28,-58.2,-0.406,17.87,17.81,02a58508o0036o
58508.214183,-21.635,2.071,-8,17,o,0,1.24,2.87006,35.973,6650.23,3271.41,2.91,2.22,-59.0,-0.428,19.03,19.71,02a58508o0051o
58508.223148,-20.341,0.355,-26,9,o,0,1.82,2.87006,35.973,6711.88,3348.11,2.68,2.18,-59.6,-0.433,19.46,20.6,02a58508o0070o
58508.232517,21.83,1.549,7,10,o,0,1.49,2.87006,35.973,6726.87,3231.07,2.66,2.19,-62.5,-0.432,19.46,20.73,02a58508o0090o
58510.210393,-19.659,1.419,-50,70,o,0,1.03,2.87006,35.973,3892.15,9205.9,3.02,2.91,-11.0,-0.461,18.11,18.83,01a58510o0030o
58510.216453,-20.229,0.609,-29,18,o,0,1.18,2.87006,35.973,3908.04,9244.96,3.14,2.95,-82.9,-0.455,18.93,20.24,01a58510o0043o
58510.223876,-19.069,0.158,-86,14,o,0,0.87,2.87006,35.973,3844.42,9167.55,2.95,2.73,-81.7,-0.475,19.27,20.96,01a58510o0059o
58510.231298,-19.433,0.179,-61,11,o,0,1.39,2.87006,35.973,3829.85,9285.05,2.93,2.71,-79.4,-0.478,19.3,21.05,01a58510o0075o
58514.215118,21.053,2.828,14,39,o,0,1.21,2.87006,35.973,5896.06,7232.79,3.26,3.25,-83.3,-0.433,18.43,19.33,01a58514o0015o
58514.221623,20.895,1.229,16,20,o,0,1.37,2.87006,35.973,5912.52,7271.7,3.21,3.11,-87.2,-0.442,18.8,20.04,01a58514o0029o
58514.226946,19.474,0.362,59,21,o,0,0.95,2.87006,35.973,5847.75,7195.83,3.39,3.13,-81.2,-0.433,18.85,20.15,01a58514o0040o
58514.239007,20.748,1.317,18,24,o,0,0.97,2.87006,35.973,5835.74,7313.83,3.89,3.46,-88.9,-0.415,18.68,20.06,01a58514o0066o
58517.267538,20.295,0.509,28,14,o,0,1.31,2.87006,35.973,4019.8,3390.23,3.26,3.1,-2.4,-0.434,19.13,20.78,01a58517o0147o
58517.272225,20.398,0.596,25,15,o,0,1.26,2.87006,35.973,4036.85,3429.54,3.36,3.22,-4.6,-0.421,19.02,20.73,01a58517o0157o
58526.220013,20.509,1.492,23,34,o,0,1.14,2.87006,35.973,1953.31,7266.13,2.9,2.71,-83.2,-0.487,18.53,19.39,01a58526o0037o
58526.228069,20.539,1.031,22,23,o,0,1.13,2.87006,35.973,1982.83,7306.46,3.29,2.91,-87.7,-0.445,18.84,20.06,01a58526o0054o
58526.237465,-21.034,1.569,-14,22,o,0,1.22,2.87006,35.973,1918.79,7228.92,3.52,2.91,-88.1,-0.436,18.84,20.13,01a58526o0074o
58526.246317,21.579,2.71,8,23,o,0,1.12,2.87006,35.973,1903.51,7345.66,3.72,3.12,-87.7,-0.425,18.76,20.09,01a58526o0093o
58530.215287,18.26,1.511,180,272,o,0,1.31,2.87006,35.973,7850.52,9141.27,3.4,2.86,-82.5,-0.543,17.09,17.53,01a58530o0021o
58530.219072,19.908,2.709,40,107,o,0,1.12,2.87006,35.973,7882.31,9181.09,3.67,2.93,-85.9,-0.438,17.8,18.46,01a58530o0029o
58530.225207,-20.037,1.41,-35,50,o,0,1.03,2.87006,35.973,7815.88,9106.53,3.79,2.96,-84.0,-0.418,18.34,19.17,01a58530o0042o
58530.233609,-20.71,2.234,-19,42,o,0,1.06,2.87006,35.973,7801.02,9226.89,3.96,3.17,-83.6,-0.424,18.34,19.31,01a58530o0060o
58621.604976,-19.17,0.567,-78,44,o,0,0.87,2.87006,35.973,6228.97,9944.98,3.04,2.98,-34.8,-0.46,18.02,18.77,01a58621o0006o
58621.610588,-21.086,3.696,-13,49,o,0,0.98,2.87006,35.973,6289.26,10029.36,3.25,3.14,-23.3,-0.426,17.9,18.72,01a58621o0018o
58621.616644,19.904,1.323,40,52,o,0,1.44,2.87006,35.973,6309.49,9910.54,3.03,2.95,-24.0,-0.452,17.68,18.34,01a58621o0031o
58638.529085,19.202,1.417,76,107,o,0,0.91,2.87006,35.973,2575.61,49.34,3.62,3.09,-13.6,-0.36,17.65,18.97,01a58638o0247o
58646.513086,-24.401,32.333,-1,20,o,0,0.97,2.87006,35.973,4237.06,6210.26,3.02,2.88,-20.7,-0.433,18.84,19.96,01a58646o0607o
58647.585787,-21.01,0.575,-14,8,o,0,1.36,2.87006,35.973,4373.58,2514.63,1.98,1.93,15.5,-0.455,19.56,20.77,02a58647o0658o
58647.589097,-22.491,2.6,-4,10,o,0,1.4,2.87006,35.973,4385.46,2554.49,2.17,1.98,39.2,-0.448,19.52,20.78,02a58647o0664o
58654.477485,22.561,10.529,3,36,o,0,1.36,2.87006,35.973,377.03,6512.22,2.93,2.8,89.3,-0.433,18.45,19.28,01a58654o0521o
58654.481911,-19.953,0.93,-38,35,o,0,1.1,2.87006,35.973,359.49,6475.58,2.89,2.79,-83.9,-0.449,18.41,19.3,01a58654o0530o
58654.488346,-20.771,2.375,-18,42,o,0,1.0,2.87006,35.973,407.74,6536.2,3.08,2.97,-60.2,-0.427,18.4,19.33,01a58654o0543o
58654.498546,-20.001,0.918,-36,33,o,0,1.32,2.87006,35.973,426.83,6420.46,3.0,2.94,-37.2,-0.434,18.52,19.43,01a58654o0563o
58654.505291,19.927,0.904,39,35,o,0,0.89,2.87006,35.973,10120.93,6447.57,3.0,2.84,-86.8,-0.457,18.47,19.34,01a58654o0577o
58654.50855,20.299,1.281,28,35,o,0,1.11,2.87006,35.973,10101.58,6407.05,2.94,2.86,-75.3,-0.459,18.44,19.36,01a58654o0584o
58654.515729,-20.139,0.903,-32,29,o,0,1.19,2.87006,35.973,10164.17,6483.44,3.16,2.97,-7.7,-0.444,18.43,19.44,01a58654o0599o
58654.525902,-20.312,1.262,-27,34,o,0,0.79,2.87006,35.973,10184.42,6364.03,3.02,2.92,85.6,-0.453,18.54,19.5,01a58654o0621o
58656.50535,-20.803,1.231,-17,21,o,0,1.54,2.87006,35.973,7903.41,8606.48,2.62,2.52,-25.7,-0.431,18.9,19.66,02a58656o0568o
58656.510896,-20.942,1.39,-15,21,o,0,1.23,2.87006,35.973,7925.12,8644.67,2.27,2.25,-28.1,-0.443,19.04,19.64,02a58656o0579o
