MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58707.271561,-21.394,1.929,-10,19,c,0,1.19,282.18089,33.08094,114.88,7829.75,2.47,2.44,60.0,-0.339,18.74,19.79,02a58707o0096c
58707.485003,20.247,0.891,29,26,c,0,0.91,282.18089,33.08094,268.61,2822.01,2.44,2.38,69.3,-0.391,18.42,19.38,02a58707o0524c
58707.488279,21.842,3.964,7,26,c,0,0.97,282.18089,33.08094,252.58,2780.26,2.37,2.31,83.0,-0.399,18.43,19.36,02a58707o0531c
58707.498223,-19.578,0.439,-54,24,c,0,1.66,282.18089,33.08094,321.88,2856.67,2.48,2.42,-80.6,-0.401,18.33,19.3,02a58707o0550c
58707.511503,-21.131,2.458,-13,32,c,0,0.76,282.18089,33.08094,339.93,2745.09,2.5,2.35,58.8,-0.394,18.28,19.21,02a58707o0577c
58709.332193,17.282,0.813,444,361,o,0,1.18,282.18089,33.08094,2026.17,4252.33,3.04,2.77,-11.1,-0.485,15.46,16.4,01a58709o0225o
58709.339623,19.164,1.847,78,145,o,0,0.98,282.18089,33.08094,2047.11,4290.55,3.09,2.8,-14.2,-0.458,16.57,17.23,01a58709o0239o
58709.342442,-19.357,2.227,-66,146,o,0,1.3,282.18089,33.08094,1987.79,4213.06,3.09,2.83,-8.4,-0.457,16.56,17.33,01a58709o0245o
58709.352658,-19.447,0.981,-60,59,o,0,1.18,282.18089,33.08094,1971.79,4329.28,3.08,2.71,-7.6,-0.458,17.64,18.29,01a58709o0266o
58711.368974,-16.536,0.61,-882,538,o,0,1.53,282.18089,33.08094,262.08,2786.75,2.42,2.26,-60.4,-0.451,15.57,15.49,02a58711o0272o
58711.373508,-20.473,5.52,-24,130,o,0,0.82,282.18089,33.08094,10473.25,2753.71,2.41,1.92,-53.6,-0.501,17.13,17.23,02a58711o0281o
58711.374997,19.062,0.865,86,74,o,0,1.03,282.18089,33.08094,328.99,2865.23,2.29,2.1,-51.2,-0.439,17.36,17.51,02a58711o0284o
58711.386492,-22.073,3.653,-5,20,o,0,1.35,282.18089,33.08094,349.23,2747.68,2.27,2.07,-50.2,-0.412,18.66,19.13,02a58711o0307o
58713.375865,21.34,1.806,11,19,o,0,0.68,282.18089,33.08094,4465.09,10053.01,2.75,2.66,-59.3,-0.496,19.07,20.37,01a58713o0315o
58713.378721,-20.614,0.82,-21,17,o,0,1.0,282.18089,33.08094,4485.96,10091.37,2.73,2.62,-67.8,-0.514,19.11,20.35,01a58713o0321o
58713.38447,22.036,3.029,6,17,o,0,1.15,282.18089,33.08094,4424.18,10013.47,2.68,2.53,-47.4,-0.507,19.09,20.32,01a58713o0333o
58713.396402,19.657,0.378,50,19,o,0,0.98,282.18089,33.08094,4403.69,10131.27,2.87,2.73,-60.4,-0.486,19.01,20.27,01a58713o0358o
58714.228267,-18.355,0.843,-165,139,o,0,1.19,282.18089,33.08094,6119.29,504.52,4.29,3.51,-17.8,-0.398,16.69,17.2,01a58714o0021o
58714.231642,-21.158,5.0,-12,62,o,0,1.15,282.18089,33.08094,6098.45,462.94,4.06,3.28,-17.2,-0.39,17.68,18.29,01a58714o0028o
58714.23778,-23.377,13.333,-2,22,o,0,1.06,282.18089,33.08094,6158.14,541.12,3.98,3.17,-17.4,-0.403,18.88,20.08,01a58714o0041o
58714.248076,22.912,6.1,2,15,o,0,0.77,282.18089,33.08094,6176.89,424.18,3.72,3.1,-18.5,-0.411,19.42,21.33,01a58714o0063o
58719.363422,-23.522,10.154,-1,14,o,0,0.47,282.18089,33.08094,4974.56,8573.78,2.36,2.0,40.9,-0.432,19.69,21.16,02a58719o0195o
58719.371124,-21.581,1.317,-8,11,o,0,0.82,282.18089,33.08094,4956.55,8538.47,2.22,2.0,42.3,-0.436,19.67,21.18,02a58719o0210o
58719.375465,25.103,28.0,0,9,o,0,0.94,282.18089,33.08094,5010.52,8612.8,2.4,2.0,39.5,-0.425,19.67,21.16,02a58719o0219o
58719.38846,-20.865,0.704,-16,12,o,0,0.89,282.18089,33.08094,5028.33,8494.5,2.36,1.96,40.1,-0.432,19.6,21.03,02a58719o0245o
58721.44807,-22.654,4.929,-3,16,o,0,0.87,282.18089,33.08094,4072.8,6058.97,2.05,1.9,-11.7,-0.426,19.35,20.57,01a58721o0474o
58721.450894,22.254,2.404,5,11,o,0,0.88,282.18089,33.08094,4092.22,6098.12,1.91,1.84,-14.4,-0.431,19.52,20.67,01a58721o0480o
58721.461121,-21.508,1.31,-9,12,o,0,1.01,282.18089,33.08094,4032.72,6021.71,1.94,1.85,-13.5,-0.43,19.41,20.55,01a58721o0500o
58721.466755,-20.774,0.527,-18,9,o,0,0.9,282.18089,33.08094,4013.68,6138.13,1.97,1.84,-15.5,-0.422,19.46,20.6,01a58721o0512o
58723.460393,-24.825,19.667,0,8,c,0,1.14,282.18089,33.08094,8456.48,4436.83,2.61,2.44,35.8,-0.387,19.67,21.55,02a58723o0436c
58723.464074,-21.786,1.333,-7,9,c,0,1.01,282.18089,33.08094,8436.66,4398.14,2.68,2.44,34.2,-0.385,19.6,21.52,02a58723o0444c
58723.470547,-21.432,1.0,-10,10,c,0,1.2,282.18089,33.08094,8496.79,4476.03,2.71,2.54,35.1,-0.385,19.59,21.49,02a58723o0458c
58723.485965,-22.148,2.0,-5,10,c,0,1.14,282.18089,33.08094,8516.62,4363.21,2.97,2.43,-55.9,-0.401,19.47,21.35,02a58723o0489c
58727.378904,-21.257,0.884,-11,10,c,0,0.69,282.18089,33.08094,8457.52,4435.65,2.5,2.32,34.1,-0.393,19.75,21.73,02a58727o0278c
58727.388483,23.251,4.933,2,9,c,0,1.04,282.18089,33.08094,8436.83,4395.92,2.49,2.35,39.9,-0.389,19.81,21.71,02a58727o0295c
58727.391633,21.116,0.802,13,10,c,0,0.71,282.18089,33.08094,8503.14,4474.22,2.48,2.38,41.5,-0.39,19.78,21.7,02a58727o0301c
